pid	text	labels
45.jpg	Chehre pe hasi aur aankhon me Gum hai, kya Aapko bhi lagta hai 2GB din ke liye kam hai?	Chehre pe hasi aur aankhon me Gum hai, kya Aapko bhi lagta hai {2GB {din {ke {liye {kam hai?
46.png	white trash go to hell trump fuck donald trump	{white {trash {go {to {hell {trump {fuck {donald {trump
47.jpg	My 600cc bike is still slower than this bike	My {600cc {bike is {still {slower than {this bike
48.png	diary of a wimpy kid hard luck anne frank is one wimpy kid	diary of a wimpy kid hard luck {anne {frank {is one {wimpy {kid
49.jpg	Me thinking ye wale chapplo me cool lgunga Le 5mint later*	Me thinking ye wale chapplo me cool lgunga {Le {5mint {later*
50.png	i don't always fuck midgets but when i do, i go balls deep	i don't always fuck midgets {but {when {i {do, {i {go {balls {deep
52.png	caitlin jenner showing off her new whip	{caitlin {jenner {showing {off {her {new {whip
53.jpg	Real ID Se aao,Virender sehwag!	{Real {ID {Se {aao,{Virender {sehwag!
54.png	democrat jan schakowsky defends ilhan omar: 'she comes from a different culture' where they want to kill all the jews	democrat jan schakowsky defends ilhan omar: 'she comes from a different culture' {where {they {want {to {kill {all {the {jews
55.jpg	DESI ADULT TROLLS That one look from crush is enough to ruin your whole semester	DESI ADULT TROLLS {That {one {look {from {crush {is {enough {to {ruin {your {whole {semester
56.png	my dishwasher is acting strange, can anybody help?	{my {dishwasher {is {acting {strange, {{can anybody {help?
58.png	whenever you feel stupid, remember this	whenever you feel stupid, {remember {this
59.jpg	Dad accused of leaving 5 kids all under age 8 home alone so he could go to work….abc13.co/2fNv1sD…*man wih a wife who has cancer and 5 kids leaves children with a babysitterwho abandons thwm while he work hard to support them.	Dad accused of leaving 5 kids all under age 8 home alone so he could go to workâ€¦.abc13.co/2fNv1sDâ€¦{*man {wih a {wife {who {has {cancer {and {5 {kids {leaves {children {with {a {babysitter {who {abandons {them {while {he {work {hard {to {support {them.
60.png	real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love	real friendship is sending them a link to something terrible so you can both be traumatised at the same time {i {torture {all {my {friends. {it's {how {i {show {love
61.jpg	My parents never said no to me they said this	{My {parents {never {said {no {to {me {they {said {this
62.png	you're a wizard motherfucker	{you're {a {wizard {motherfucker
64.png	don't drink and drive	don't drink {and {drive
65.jpg	every boys weakness	{every {boys {weakness
66.png	when my girl pissed me off but she runs through the room in her draws me my dick	when my girl pissed me off but she runs through the room in her draws {me {my {dick
68.png	catch me outside how bout dat i'll catch my damn self outside	catch me outside how bout dat {i'll {catch {my {damn {self {outside
70.png	when your grandma sees you for the first time in a whole week he's so fucking big. me#irl	when your grandma sees you for the first time in a whole week {he's {so {fucking {big. me#irl
71.jpg	any good singer releases new song pata nahi aise situations mein. main automatically aage kaise aa jata hoor	any good singer releases new song {pata {nahi {aise {situations {mein. {main {automatically {aage {{kaise {aa {jata {hoon
72.png	i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock	i hang a sock on my doorknob {so {my {roommate {knows {not {to {come {in {because {i'm {busy {fucking {the {other {sock
73.jpg	me: *invest in a stock* The stock :	me: *invest in a stock* {The {stock :
74.png	my kid threatened to hold his breath until i gave him dessert. he's now passed out on the kitchen floor i don't negotiate with terrorists	my kid threatened to hold his breath until i gave him dessert. he's now passed out on the kitchen floor {i {don't {negotiate {{with terrorists
76.png	closing time one last call for green cards you dont have to go home but you cant stay here	closing time one last call for green cards {you {dont {have {to {go {home {but {you {cant {stay {here
77.jpg	clothes i have washed clothes i have SCOOPWHOOP.com	clothes i have {washed {clothes {i {have SCOOPWHOOP.com
78.png	want to party? yeah i'm down	want to party? {yeah {i'm {down
79.jpg	Aap muskura kyun rhe hai?Pay attention to the class..Mere baare me itna mat socho Attendance k liye aata hu Padhai k liye nhi	Aap muskura kyun rhe hai?Pay attention to the class..{Mere {baare {me {itna {mat {socho {Attendance {k {liye {aata {hu {Padhai {k {liye {nhi
80.png	how high are you no officer, its "hi, how are you"?	how high are you {no {officer, {its {"hi, {how {are {you"?
81.jpg	#USvsIndia Do you have money? yes Idhar zeher khane paise nhi hain	#USvsIndia Do you have money? yes {Idhar {zeher {khane {paise {nhi {hain
84.png	is your girlfriend hot like me?	{is {your {girlfriend {hot {like {me?
85.jpg	me while masturbating:me 20 seconds later:no,i don't think i will.	me while masturbating:{me {20 {seconds {later:no,{i {don't {think {i {will.
87.jpg	माताजी गुजिया बनवाने में साथ देने के लिए मेरी तारीफ करती हई ...में तो गुजिया बनवाते चुपचाप बादाम किसमिस मावे पर हाथ साफ कर रहा था |	à¤®à¤¾à¤¤à¤¾à¤œà¥€ à¤—à¥à¤œà¤¿à¤¯à¤¾ à¤¬à¤¨à¤µà¤¾à¤¨à¥‡ à¤®à¥‡à¤‚ à¤¸à¤¾à¤¥ à¤¦à¥‡à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤®à¥‡à¤°à¥€ à¤¤à¤¾à¤°à¥€à¤« à¤•à¤°à¤¤à¥€ à¤¹à¤ˆ ...à¤®à¥‡à¤‚ à¤¤à¥‹ à¤—à¥à¤œà¤¿à¤¯à¤¾ à¤¬à¤¨à¤µà¤¾à¤¤à¥‡ à¤šà¥à¤ªà¤šà¤¾à¤ª à¤¬à¤¾à¤¦à¤¾à¤® à¤•à¤¿à¤¸à¤®à¤¿à¤¸ à¤®à¤¾à¤µà¥‡ à¤ªà¤° à¤¹à¤¾à¤¥ à¤¸à¤¾à¤« à¤•à¤° à¤°à¤¹à¤¾ à¤¥à¤¾ |
88.png	i once dumped a cross eyed chick thought she was seeing someone else	i once dumped a cross eyed chick {thought {she {was {seeing {someone {else
89.jpg	everyone : Why is it taking so long to devlop a COVID-19 vaccine?? Researchers and Scientists: maggi banarela hai kya idhar madarchod	everyone : Why is it taking so long to devlop a COVID-19 vaccine?? {Researchers {and {Scientists: {maggi {banarela {hai {kya {idhar {madarchod
90.png	when the black kids start fighting at school	{when {the {black {kids {start {fighting {at {school
92.png	it might look fucked up, but her handjobs are fucking unbelievable	it might look fucked up, {but {her {handjobs {are {fucking {unbelievable
93.jpg	When you ay "pagal" to your boyfriend and he replies "Tumhari wajah se" instead of "Tumhare liye"	When you say "pagal" to your boyfriend and he replies {"Tumhari {wajah {se {" instead {of {"Tumhare {liye"
95.jpg	Queen doesn't even reply to Meghan's "jinhe mera dil lutteya"oho	Queen doesn't even reply to Meghan's {"jinhe {mera {dil {lutteya"{oho
96.png	"we fly planes into their buildings now they kiss our asses!" "	"we fly planes into their buildings {now {they {kiss {our {asses!" "
98.png	every dad: *shaves beard* his own baby: i've never met this man in my life	every dad: *shaves beard* his own baby: {i've {never {met {this {man {in {my {life
99.jpg	teacher *I hope you guys have understood todays topic * Me:	teacher {*I {hope {you {guys {have {understood {todays {topic * {Me:
100.png	when you just can't stop thinking about obama	when you just can't {stop {thinking {about {obama
101.jpg	Students waking up 5 mins before online class dads who used to swim across the world 5 times to reach school Pathetic.	Students waking up 5 mins before online class {dads {who {used {to {swim {across {the {world {5 {to {reach {school {Pathetic.
102.png	when you ask for advice and they tell you to just be yourself you want me to get naked and start the revolution?	when you ask for advice and they tell you to just be yourself {you {want {me {to {get {naked {and {start {the {revolution?
103.jpg	boys relax usne 'leavemealone' laga diya hai	boys relax usne {'leavemealone' {laga {diya {hai
104.png	hey mom the goats asshole is inside out. what do?	hey mom {the {goats {asshole {is {inside {out. {what {do?
105.jpg	thanos:lmao noobs My husband and his indestructible head ohh really	thanos:lmao noobs {My {husband {and {his {indestructible {head {ohh {really
106.png	when your wife and girlfriend dont get along	{when {your {wife {and {girlfriend {dont {get {along
107.jpg	paan bech raha hai ya vaccine?	{paan {bech {raha {hai {ya {vaccine?
109.jpg	Boys having sleepover before exams to study.	{having {sleepover {before {exams {to {study.
110.png	i wanna see the most fucked up meme. lets see what you got	i wanna see the most fucked up meme. {lets {see {what {you {got
111.jpg	120 26 of 60 Fri, 3 Apr PBKS RCB Starts at 7:30 pm	120 26 of 60 Fri, 3 Apr PBKS RCB Starts at 7:30 pm
112.png	come on over i'm having a party the place is crawling with pussy	come on over i'm having a party the {place {is {crawling {with {pussy
113.jpg	THIS GIRL IS 21 NOW TIME FLIES	THIS GIRL IS 21 NOW! {TIME {FLIES
114.png	when you shoot up the school and somebody else gets blamed for it we stand here amid my achievement, not yours!	when you shoot up the school and somebody else gets blamed for it {we {stand {here {amid {my {achievement, {not {yours!
115.jpg	WHEN YOUR FRIEND TRIES TO SHOUT YOUR NAME INFRONT OF YOUR CRUSH	{WHEN {YOUR {FRIEND {TRIES {TO {SHOUT {YOUR {NAME {INFRONT {OF {YOUR {CRUSH
116.png	my dishwasher is acting strange, can anybody help	{my {dishwasher {{is {acting {strange, {can {anybody {help
117.jpg	INTERNATIONAL  Covid-19: US rejects India's vaccine plea, cites domestic priorities Apr 24,2021, 08:27 AM IST | Source: TOI.in main tereko DEVMANUSH samajhta tha tu toh HARAMI nikla re	INTERNATIONAL  Covid-19: US rejects India's vaccine plea, cites domestic priorities Apr 24,2021, 08:27 AM IST | Source: TOI.in {main {{tereko {DEVMANUSH {samajhta {tha {tu {toh {HARAMI {nikla {re
118.png	when your homie throws a heart react on your status just fucking kiss me, man	when your homie throws a heart react on your status {just {fucking {kiss {me, {man
119.jpg	Me to my salary after appraisals MPF Arey uth!	Me to my salary after appraisals MPF {Arey {uth!
120.png	when you catch your goat with another man	when you catch your goat {with {another {man
121.jpg	when your best friend gets married	{when {your {best {friend {gets {married
122.png	lock her up and throw away the key	lock her up and {throw {away {the {key
123.jpg	WILLIAMSON Scored 66 of 51 last game.#FANBLAZE fanblaze insta said it!"zaroor lena aaj ka punt pick hai"Fanblaze fantasy on insta	WILLIAMSON Scored 66 of 51 last game.{#FANBLAZE {fanblaze {insta {said {it!{"zaroor {lena {aaj {ka {punt {pick {hai"{Fanblaze {fantasy {on {insta
124.png	when you're muslim but you have oil	when you're muslim {but {you {have {oil
125.jpg	me going to school after my parents didn't belive that i had a heart attack in my stomach	me going to school after my parents didn't belive that {i {had {a {heart {attack {in {my {stomach
126.png	great at making martinis terrible at stealing tambourines	great at making martinis {terrible {at {stealing {tambourines
128.png	stalin: if you invade us, you break our agreement hitler: quicksaving..	stalin: if you invade us, you break our agreement {hitler: {quicksaving..
130.png	"i yelled catch ! i swear i thought she was ready "	"i yelled catch ! {i {swear {i {thought {she {{was ready "
131.jpg	some MFs looks like this Still says bhai abhi chemistry ki book touch tak nhi kiya hu	some MFs looks like this {Still {says {bhai {abhi {chemistry {ki {book {touch {tak {nhi {kiya {hu
132.png	even i can see you're a cunt	even i can see {you're {a {cunt
134.png	gmc short for give me cock	gmc short for {give {{me cock
135.jpg	today they said" wear mask while driving aline ' tomorrow they will say wear condom when you are sleeping alone"	today they said" wear mask while driving aline {' tomorrow {they {will {say {wear {condom {when {you {are {sleeping {alone"
136.png	did a lot of medical research didn't hurt any animals	did a lot of medical research {didn't {hurt {any {animals
137.jpg	5 year old me after wasting my dad's 40 rupees	{5 {year {old {me {after {wasting {my {dad's {40 {rupees
138.png	you can't be the victim of a school shooting if you're the school shooter	you can't be the victim of a school shooting {if {{you're {the {school {shooter
140.png	after 3 million years of evolution we still love to relax	after 3 million years of evolution {we {still {love {to {relax
142.png	let me salute to hitler the great he said "i would have killed all the jews of the world, but i kept some to show the world why i killed them"	{let {me {salute {to {hitler {the {great {he {said "i would have killed all the jews of the world, but i kept some to show the world why i killed them"
144.png	attacking a person for who they are or where they're from is an attack on their people and culture as a whole	attacking a person for who {they {are {or {where {they're {from {is {an {attack {on {their {people {and {culture {as {a {whole
145.jpg	me- aur naha lia???? she- pagal hai kya bey roz  kaun nahata me yaar... ye kitni awsome hai yaar	me- aur naha lia???? she- pagal hai kya bey roz  kaun nahata me yaar... {ye {kitni {awsome {hai {yaar
146.png	so i was sucking on her t*ts then the husband walks in and i just sk*t myself	{so {i {was {sucking {on {her {t*ts {then {the {husband {walks {in {and {i {just {sk*t {myself
147.jpg	bandi ne kaha'nobody is at  home'  uske ghar jaake dekha toh sach me tala laga	bandi ne kaha'nobody is at  home'  {uske {ghar {jaake {dekha {toh {sach {me {tala {laga 
148.png	dear "dad". i did it without you. love, the daughter you left behind	dear "dad". i did it without you. {love, {the {daughter {you {left {behind
149.jpg	to everyone out here SCOOPWHOOP.com	{to {everyone {out {here SCOOPWHOOP.com
150.png	a real man... loads the dishwasher every night!!	a real man... {loads {the {dishwasher {every {night!!
151.jpg	Journalism in India Ravish kumar SCOOPWHOOP.com	Journalism in India {Ravish {kumar SCOOPWHOOP.com
152.png	i will kill this white man ooo wwe fans	{i {will {kill {this {white {man {ooo {wwe fans
153.jpg	dilli in summers dilli in winters SCOOPWHOOP.com	{dilli {in {summers {dilli {in {winters SCOOPWHOOP.com
154.png	i'm not saying it was muslims but it was muslims	i'm not saying it was muslims {but {it {was {muslims
155.jpg	Lockdown could be relaxed in some places after April 20:PM Modi    Don't do that. Don't give me hope	Lockdown could be relaxed in some places after April 20:PM Modi    {Don't {do {that. {Don't {give {me {hope
157.jpg	me mosquitoes at night	me {mosquitoes {at {night
158.png	never let someone who has done nothing tell you how to do anything	never let someone who has done nothing {tell {you {how {to {do {anything
161.jpg	Everyone is a gangster Untill the real gangster arrives	Everyone is a gangster {Untill {the {real {gangster {arrives
162.png	algebra and geometry are fine, but graphing is where you draw a line	algebra and geometry are fine, but {graphing {is {where {you {draw {a {line
163.jpg	Girls meet their boyfriends after lockdown Terko jo karne ka hai tu kar	Girls meet their boyfriends after lockdown {Terko {jo {karne {ka {hai {tu {kar
164.png	"if that uckin bastard wins, we're all going to hang from nooses! you better fix this shit!" -hillary clinton email to donna brazile october 17, 2016	"if that uckin bastard wins, we're all going to hang from nooses! you better fix this shit!" -{hillary {clinton {email {to {donna {brazile {october {17, {2016
166.png	i only wear silk panties cotton ones remind me of slavery	i only wear silk panties {cotton {ones {remind {me {of {slavery
167.jpg	AGAR 30-40 METER TAK APKO OPPO-VIVO KA KOI POSTER NA MILE TO SAMJH LENA, AAP CHALTE CHALTE BHARAT KI SEEMA PAAR KAR CHUKE HO	AGAR 30-40 METER TAK APKO OPPO-VIVO KA KOI POSTER NA MILE TO SAMJH LENA, {AAP {CHALTE {CHALTE {BHARAT {KI {SEEMA {PAAR {KAR {CHUKE {HO
168.png	my sister gave me this haircut after i fucked her	my sister gave me this haircut {after {i {fucked {her
169.jpg	WHATSAPP UNIVERSITY	{WHATSAPP {UNIVERSITY
171.jpg	Just when i thought i had figured out life,i saw this.	Just when i thought i had figured out life,{i {saw {this.
172.png	me during no shave november	{me {during {no {shave {november
174.png	i called my boy whatchoo goin do bout that spray bottle now	i called my boy {whatchoo {goin {do {bout {that {spray {bottle {now
175.jpg	Crush : Shubham Tum Itne Handsome Ho Tumhe Toh Koi Bhi Ladki Mil Jayegi Shubham Who Already Rejected By 17 Girls :	Crush : Shubham Tum Itne Handsome Ho Tumhe Toh Koi Bhi Ladki Mil Jayegi {Shubham {Who {Already {Rejected {By {17 {Girls :
176.png	isis you mean them goat fuckers that don't like bacon	isis {you {mean {them {goat {fuckers {that {don't {like {bacon
177.jpg	Happy Holi( especially jo ghar pe hai )	Happy Holi{( especially jo ghar pe hai )
178.png	my fragile heart at my sex drive - stay back, slut	my fragile heart at my sex drive - {stay {back, {slut
179.jpg	quarantine k chakar Mai sab aalsi ban rahe hai Lekin mujhe kya Mai toh pehlese aalsi hu	quarantine k chakar Mai sab aalsi ban rahe hai {Lekin {mujhe {kya {Mai {toh {pehlese {aalsi {hu
181.jpg	*online class ends* Teacher: Any questions? Me: Sir wo peeche aapki beti khadi hai kya? *teacher	*online class ends* Teacher: Any questions? Me: {Sir {wo {peeche {aapki {beti {khadi {hai {kya? {*teacher
182.png	they want this not beause they love you they need to mix breed to preserve their species	they want this not beause they love you {they {need {to {mix {breed {to {preserve {their {species
183.jpg	When your crush starts dating a guy whom she bro zoned earlier Chya maayla.. Babu bhaiya se direct babu	When your crush starts dating a guy whom she bro zoned earlier {Chya {maayla.. {Babu {bhaiya {se {direct {babu
184.png	dishwasher for sale missing parts	dishwasher for sale {missing {parts
185.jpg	Himanshu Singh Rajput @memerhimu When mo just completed doing pocha koi bhi apni jagah se nahi hilega	Himanshu Singh Rajput @memerhimu When mom just completed doing pocha {koi {bhi {apni {jagah {se {nahi {hilega
186.png	look at me this is my meme now	look at me {this {is {my {meme {now
187.jpg	He gave her a ring. She gave him a kidney. Meri wali to jio se bhi miscall maarti hai	He gave her a ring. She gave him a kidney. {Meri {wali {to {jio {se {bhi {miscall {maarti {hai
188.png	shit someone added too much soap to the dishwasher again	shit someone added {too {much {soap to the dishwasher again
190.png	you ever get laid in a sleeping bag? it's awful. you can't even move, you're drenched in sweat, and your scout master is covering your mouth	you ever get laid in a sleeping bag? it's awful. {you {can't {even {move, {you're {drenched {in {sweat, {and {your {scout {master {is {covering {your {mouth
191.jpg	whenever we sat for a drink,the queen ate all the chakhna and left without drinking.	whenever we sat for a drink,{the {queen {ate {all {the {chakhna {and l{eft {without {drinking.
192.png	when you run out of bras and have to hold the girls up on your own	when you run out of bras and {have {to {{hold {the {girls {up {on {your {own
193.jpg	You cry over boys I cry over study We are not same sis.	You cry over boys I cry over study {We {are {not {same {sis.
194.png	siri take me home starting route to jail	siri take me home {starting {route {to {jail
195.jpg	students :the maths teacher won't come today because of the Rain The math's teacher:	students :the maths teacher won't come today because of the Rain {The {math's {teacher:
196.png	i'm deporting all mexicans!!! except the ones in baldwin park you fuckers are crazy!!!	i'm deporting all mexicans!!! except the ones in baldwin park you fuckers are crazy!!!
198.png	been talking shit about trump since day one. now crying like bitches after getting called out	been talking shit about trump since day one. {now {crying {like {bitches {after {getting {called {out
199.jpg	my little brother Me	my little brother {Me
200.png	someone needs to invent car fax for vaginas "i have only been with one guy." "yeah sure, show me the whorefax."	someone needs to invent car fax for vaginas "i have only been with one guy." {"yeah {sure, {show {me {the {whorefax."
201.jpg	relative:tu college mei h na? me:haan relative;teri height se lagta hi nahi h tu college mei...	relative:tu college mei h na? me:haan relative;{teri {height {se {lagta {hi {nahi {h {tu {college {mei...
202.png	life has never given me lemons it has given me anger issues, anxiety, a love for alcohol, a serious dislike for stupid people. but not lemons	life has never given me lemons {it {has {given {me {anger {issues, {anxiety, {a {love {for {alcohol, {a s{erious {dislike {for {stupid {people. {but {not {lemons
203.jpg	what if 2020 is just a trailer of 2021?	{what {if {2020 {is {just {a {trailer {of {2021?
204.png	you like something that i do not particularly enjoy disgusting prepare to forfeit your life	you like something that i do not particularly enjoy {disgusting {prepare {to {forfeit {your {life
205.jpg	from."hi daddy" to"your ex-wife calls me daddy too",he grew up Russian blogger marries stepson before giving birth,undergoes plastic surgery	from."hi daddy" to"your ex-wife calls me daddy too",he grew up {Russian {blogger {marries {stepson {before {giving {birth,{undergoes {plastic {surgery
206.png	did you know you are supposed to pull anal beads out slowly? i didn't... i started the wife up like a fucking chainsaw	did you know you are supposed to pull anal beads out slowly? {i {didn't... {i {started {the {wife {up {like {a {fucking {chainsaw
207.jpg	Friendship is..share with someone	Friendship is..{share {with {someone
210.png	lol don't bother buckling up because we are all going to die	lol don't bother buckling up {because {we {are {all {going {to {die
211.jpg	name:dot age:82 advice for the younger generation.stay healthy ,look after your body,get fresh air and don't get "under the sheets"until you are older.There is plenty of time for that!!	name:dot age:82 advice for the younger generation.stay healthy ,look after your body,get fresh air and {don't {get {"under {the {sheets{"until {you {are {older.{There {is {plenty {of {time {for {that!!
212.png	this could be us but you keep escaping	this could be us but {you {keep {escaping
213.jpg	me and my best friend don't impress people we insult them	me and my best friend don't impress people {we {insult {them
214.png	do you still suck dick? faggot	do you still suck dick? {faggot
216.png	this is steve, he lives with both parents, who both work. no one in his family has a middle name in their facebook name, like javeon doingbigthings jackson. everyone in his family can swim	this is steve, he lives with both parents, who both work. {no {one {in {his {family {has {a {middle {name {in {their {facebook {name, {like {javeon {doingbigthings {jackson. {everyone {in {his {family {can {swim
217.jpg	homeless girl in Europe looks like my dream girl	homeless girl in Europe looks like my dream girl
218.png	stupid you are breed you should not	stupid you are {breed {you {should {not
220.png	the only thing more vile than the attitude of these anti americans.. is the absolute ignorance of the delusional people that voted for them	the only thing more vile than the attitude of these anti americans.. {is {the {absolute {ignorance {of {the {delusional {people {that {voted {for {them
221.jpg	लड़की किसके साथ खुस रहेगी..Devesh Yadav Dev  Dev  मेरे साथ.	à¤²à¥œà¤•à¥€ à¤•à¤¿à¤¸à¤•à¥‡ à¤¸à¤¾à¤¥ à¤–à¥à¤¸ à¤°à¤¹à¥‡à¤—à¥€..Devesh Yadav {Dev  {Dev  à¤®à¥‡à¤°à¥‡ à¤¸à¤¾à¤¥.
222.png	step one: turn on the gas	step one: {turn {on {the {gas
224.png	the answer to the age-old question, does a bear shit in the woods? answer... yes they do! answer... yes they do! and here is scientific proof and here is scientific proof	the answer to the age-old question, does a {bear {shit {in the {woods? answer... yes they do! answer... yes they do! and {here {is {scientific {proof {and {here {is {scientific {proof
225.jpg	He's still typing? He must be writing a book… Where the fuck is that emoji?	He's still typing? He must be writing a bookâ€¦ {Where {the {fuck {is {that {emoji?
226.png	 i thought i you said netflix & chill no i said "here, take this pill	 i thought i you said netflix & chill {no {i {said {"here, {take {this {pill
228.png	you sicced all of your corrupt  goons after me for 3 years and i came out clean. now it's my turn to send my justice-seeking patriots after you and your corrupt goons let's see how you all come out!!!	you sicced all of your corrupt  goons after me for 3 years and i came out clean. now it's my turn to send my justice-seeking patriots after you and {your {corrupt {goons {let's {see {how {you {all {come {out!!!
230.png	give me a dog treat human	give me a dog {treat {human
231.jpg	Well Played Sister	{Well {Played {Sister
232.png	a stork might bring you a baby but a swallow never will	a stork might bring you a baby but {a {swallow {never {will
233.jpg	Primary schools in Hungary opened again, This was on national news ISKOLAKEZEDES: TOBBEN OTTHON MARADTAK	Primary schools in Hungary opened again, This was on national news {ISKOLAKEZEDES: {TOBBEN {OTTHON {MARADTAK
234.png	how your booty feels after the taco bell drops	how your booty feels {after {the {taco {bell {drops
235.jpg	GAY LOVERS FIND OUT THEY ARE BROTHERS	GAY LOVERS FIND OUT {THEY {ARE {BROTHERS
236.png	don't shoot, i'm from the group why dont you post and comment? i'm shy, but i like stuff	don't shoot, i'm from the group why dont you post and comment? {i'm {shy, {but {i {like {stuff
237.jpg	MY FRIENDS FIRST NIGHT Expectations Reality	MY FRIENDS FIRST NIGHT Expectations {Reality
238.png	listen bitch, before you start fucking with me you should know my team is bigger	listen bitch, before you start fucking with me {you {should {know {my {team {is {bigger
239.jpg	Against MI in Chepauk Steve Smith lbw Kieron Pollard 33 29 113.79 4 CRICKET_KI_DIWANI Virat Kohli lbw Jasprit Bumrah 33 29 113.79 4	Against MI in Chepauk {Steve {Smith {lbw {Kieron {Pollard 33 29 113.79 4 CRICKET_KI_DIWANI {Virat {Kohli {lbw {Jasprit {Bumrah 33 29 113.79 4
